num ;dist(asec);            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  spec. type   
1003;   2178.05;HD 283068                          ;*  ;03 49 57.0724233864 +23 57 11.406156732;     ~   ;10.33    ;9.9      ;     ~   ;G0             
1004;   2179.15;Cl* Melotte 22 DH 598              ;Er*;03 49 01.1408670336 +23 38 15.647333892;     ~   ;     ~   ;19.68    ;     ~   ;~              
1005;   2179.56;V* NW Tau                          ;Er*;03 44 47.3296776646 +24 00 37.966864652;     ~   ;     ~   ;     ~   ;     ~   ;~              
1006;   2179.97;Cl* Melotte 22 SHF 13              ;PM*;03 45 43.4551394280 +23 38 51.652657320;     ~   ;     ~   ;     ~   ;     ~   ;~              
1007;   2180.10;Cl Melotte 22 2497                 ;*  ;03 49 57.0404360928 +23 57 02.375811936;     ~   ;     ~   ;12.66    ;     ~   ;~              
1008;   2180.35;UCAC4 573-008711                   ;*  ;03 45 15.5779428936 +24 28 32.836979208;     ~   ;     ~   ;13.5466  ;13.63    ;~              
1009;   2181.15;UCAC4 568-008400                   ;*  ;03 46 12.0089051376 +23 34 35.286358260;     ~   ;14.99    ;13.95    ;13.65    ;~              
1010;   2182.77;Cl* Melotte 22 SHF 29              ;*  ;03 46 19.5358270008 +23 33 44.446264884;     ~   ;     ~   ;     ~   ;     ~   ;~              
1011;   2183.21;[CH87b] C21 44                     ;GiC;03 46 16.2 +24 39 57                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1012;   2186.54;Cl* Melotte 22 SRS 52235           ;*  ;03 48 51.7102353336 +24 37 28.863445512;     ~   ;18.61    ;16.94    ;     ~   ;~              
1013;   2190.62;V* V811 Tau                        ;BY*;03 45 21.1862906887 +23 43 38.888404751;14.771   ;13.67    ;12.57    ;     ~   ;G5             
1014;   2190.73;[SCG94] X 255                      ;?  ;03 49 44.4 +24 24 35                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1015;   2191.12;IRAS 03443+2321                    ;FIR;03 47 19.7 +23 30 30                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1016;   2191.87;DANCe J03455103+2337170            ;*  ;03 45 51.0287324544 +23 37 17.319166176;     ~   ;     ~   ;     ~   ;     ~   ;~              
1017;   2192.63;V* V634 Tau                        ;Er*;03 44 44.5483357032 +24 10 30.427705236;     ~   ;16.55    ;15.51    ;15.30    ;~              
1018;   2196.07;HD 282964                          ;*  ;03 48 48.7831208904 +24 38 05.714390616;     ~   ;11.4     ;10.9     ;     ~   ;G0             
1019;   2196.17;1E 0346.9+2435                     ;X  ;03 49 54.7 +23 54 32                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1020;   2196.18;Cl Melotte 22 803                  ;*  ;03 45 50.6988708336 +23 37 15.259655100;     ~   ;13.39    ;11.97    ;     ~   ;K0IV           
1021;   2196.74;* q Tau                            ;*  ;03 45 12.4957802 +24 28 02.209730      ;3.73     ;4.19     ;4.30     ;4.30     ;B6IV           
1022;   2197.23;Cl Melotte 22 2399                 ;*  ;03 49 41.3852855904 +24 25 59.652550272;     ~   ;     ~   ;13.20    ;     ~   ;~              
1023;   2203.71;UGCS J034710.20+244335.3           ;PM*;03 47 10.1978913384 +24 43 35.628356136;     ~   ;     ~   ;     ~   ;     ~   ;~              
1024;   2205.02;V* V1173 Tau                       ;BY*;03 50 05.0528312880 +24 07 26.254695053;     ~   ;15.39    ;14.04    ;     ~   ;K7e            
1025;   2209.17;[SCG94] X 127                      ;?  ;03 46 23.0 +24 41 06                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1026;   2210.63;[SCG94] X 261                      ;?  ;03 49 54.2 +24 20 36                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1027;   2211.89;Cl Melotte 22 2482                 ;*  ;03 49 54.4902474000 +24 20 29.330218968;     ~   ;     ~   ;12.52    ;     ~   ;~              
1028;   2212.95;[SCG94] X 70                       ;X  ;03 44 44.5 +24 13 04                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1029;   2220.29;* 16 Tau                           ;V* ;03 44 48.2149362048 +24 17 22.083331452;5.09     ;5.42     ;5.46     ;5.42     ;B7IV           
1030;   2221.00;V* NY Tau                          ;Er*;03 44 58.5591158616 +24 23 28.205523780;     ~   ;17.36    ;16.32    ;16.25    ;~              
1031;   2224.61;V* V358 Tau                        ;Er*;03 49 15.3876118463 +24 34 02.210850820;     ~   ;15.78    ;14.42    ;     ~   ;K6Ve           
1032;   2228.01;PLHX 16                            ;X  ;03 45 09.4 +24 27 56                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1033;   2228.25;2MASS J03444398+2413523            ;Y*O;03 44 43.9834004370 +24 13 52.355069334;     ~   ;12.25    ;11.40    ;11.31    ;G8V            
1034;   2228.48;1AXG J034611+2440                  ;X  ;03 46 11.9 +24 40 19                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1035;   2229.72;[CH87b] C21 15                     ;GiC;03 46 23.7 +24 41 32                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1036;   2231.93;[SCG94] X 252                      ;?  ;03 49 42.1 +24 26 50                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1037;   2231.94;V* V651 Tau                        ;Er*;03 47 38.3881420440 +24 44 03.275735424;     ~   ;17.02    ;16.42    ;     ~   ;~              
1038;   2233.94;Ced 19c                            ;ISM;03 44 48.0 +24 18 00                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1039;   2236.49;NVSS J034954+242139                ;Rad;03 49 54.4 +24 21 39                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1040;   2239.47;Cl* Melotte 22 DH 433              ;Er*;03 46 17.9355050150 +24 41 09.587093015;     ~   ;18.076   ;16.509   ;     ~   ;~              
1041;   2243.65;HAT 260-07798                      ;*  ;03 49 26.7955612320 +24 31 48.911316132;     ~   ;     ~   ;     ~   ;     ~   ;~              
1042;   2246.09;V* OX Tau A                        ;PM*;03 46 09.8885547665 +24 40 24.973124802;     ~   ;     ~   ;     ~   ;     ~   ;~              
1043;   2246.11;V* OX Tau                          ;Y*O;03 46 09.898608 +24 40 25.07124        ;     ~   ;16.82    ;15.29    ;14.82    ;M2.5e          
1044;   2246.35;Cl Melotte 22 2311                 ;Y*O;03 49 28.7425971397 +23 42 43.885888515;     ~   ;12.19    ;11.36    ;     ~   ;~              
1045;   2246.55;Cl Melotte 22 2554                 ;** ;03 50 06.0973218775 +24 12 54.685805995;     ~   ;12.12    ;11.40    ;11.31    ;G0             
1046;   2246.64;V* OX Tau B                        ;*  ;03 46 09.9516350880 +24 40 26.034449520;     ~   ;     ~   ;     ~   ;     ~   ;~              
1047;   2247.60;Cl Melotte 22 2571                 ;*  ;03 50 08.1647051112 +24 07 23.898812880;     ~   ;12.17    ;     ~   ;     ~   ;~              
1048;   2248.06;Cl* Melotte 22 HHJ 256             ;*  ;03 50 03.9015279432 +23 58 33.971830248;     ~   ;     ~   ;17.30    ;     ~   ;~              
1049;   2248.57;HD 23948                           ;*  ;03 49 56.5953892752 +24 20 56.372246016;     ~   ;7.61     ;7.54     ;     ~   ;A0             
1050;   2248.93;UGCS J034634.98+233114.4           ;*  ;03 46 35.0093002944 +23 31 13.898451648;     ~   ;     ~   ;     ~   ;     ~   ;~              
1051;   2249.78;[SCG94] X 259                      ;?  ;03 49 51.0 +24 23 50                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1052;   2250.90;V* V1088 Tau                       ;Er*;03 49 20.9155242768 +24 33 25.342574004;     ~   ;     ~   ;     ~   ;     ~   ;~              
1053;   2255.76;V* V359 Tau                        ;Er*;03 49 27.6363599256 +24 31 54.206428620;     ~   ;17.522   ;15.991   ;     ~   ;K0III          
1054;   2256.19;Cl Melotte 22 2351                 ;*  ;03 49 30.3444137328 +24 31 11.838902052;     ~   ;15.9     ;     ~   ;15.50    ;~              
1055;   2257.75;IRAS 03441+2435                    ;FIR;03 47 06.8 +24 44 25                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1056;   2259.24;Cl Melotte 22 2521                 ;*  ;03 50 00.2037184704 +23 54 56.361071016;     ~   ;     ~   ;13.11    ;     ~   ;~              
1057;   2259.56;2MASS J03470141+2329419            ;Y*O;03 47 01.4202225461 +23 29 41.789599511;13.035   ;12.31    ;11.47    ;     ~   ;K0V            
1058;   2259.56;Cl Melotte 22 2166                 ;*  ;03 49 08.4381829680 +23 37 52.575911580;     ~   ;     ~   ;13.62    ;     ~   ;~              
1059;   2260.91;V* V857 Tau                        ;Er*;03 46 08.6963759763 +24 40 33.328669388;     ~   ;     ~   ;     ~   ;     ~   ;~              
1060;   2262.22;Cl Melotte 22 2564                 ;*  ;03 50 07.1753428896 +24 01 09.102963900;     ~   ;13.46    ;     ~   ;     ~   ;~              
1061;   2262.52;BD+24 547B                         ;*  ;03 45 09.7881924840 +24 29 03.827147352;     ~   ;11.51    ;8.1      ;     ~   ;~              
1062;   2264.67;V* V1283 Tau                       ;EB*;03 49 42.2769758102 +24 27 46.827406169;     ~   ;13.162   ;12.201   ;11.974   ;G9             
1063;   2265.86;V* V338 Tau                        ;Er*;03 47 59.7379938840 +24 43 52.667371956;     ~   ;14.71    ;13.51    ;     ~   ;K6e            
1064;   2271.31;Cl* Melotte 22 DH 388              ;Er*;03 45 21.6708523649 +24 32 37.330999232;     ~   ;     ~   ;17.60    ;     ~   ;~              
1065;   2271.34;Cl Melotte 22 2580                 ;*  ;03 50 09.7416431304 +24 08 45.994802388;     ~   ;     ~   ;13.35    ;     ~   ;~              
1066;   2272.74;Cl* Melotte 22 BPL 136             ;PM*;03 47 16.4425088664 +24 44 50.396382636;     ~   ;     ~   ;     ~   ;     ~   ;~              
1067;   2274.31;SRS 40700                          ;*  ;03 48 00.0 +23 30 00                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1068;   2278.61;Cl* Melotte 22 SRS 72019           ;*  ;03 44 39.3323590776 +24 01 34.333635720;     ~   ;18.32    ;16.37    ;     ~   ;~              
1069;   2278.71;IRAS 03463+2424                    ;FIR;03 49 21.5 +24 33 57                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1070;   2279.44;Cl Melotte 22 510                  ;*  ;03 45 00.0 +23 48 00                   ;     ~   ;15.8     ;     ~   ;     ~   ;~              
1071;   2280.96;Cl* Melotte 22 DH 372              ;PM*;03 45 04.9909282307 +23 46 06.593235876;     ~   ;     ~   ;19.30    ;     ~   ;~              
1072;   2282.07;V* V439 Tau                        ;Er*;03 45 12.0709231368 +24 30 18.366153408;     ~   ;     ~   ;     ~   ;     ~   ;~              
1073;   2283.12;Cl Melotte 22 1942                 ;*  ;03 48 39.4269936888 +24 40 57.410186340;     ~   ;12.39    ;     ~   ;     ~   ;~              
1074;   2287.31;Cl Melotte 22 2361                 ;*  ;03 49 36.5897418312 +24 30 15.242869152;     ~   ;     ~   ;13.97    ;     ~   ;~              
1075;   2287.49;2MASS J03481098+2330253            ;Y*O;03 48 10.9770593158 +23 30 25.232894608;     ~   ;15.57    ;14.20    ;     ~   ;~              
1076;   2288.34;Cl Melotte 22 780                  ;*  ;03 45 46.4264372064 +23 36 03.972602448;     ~   ;     ~   ;13.07    ;     ~   ;G2             
1077;   2288.34;PLHX 33                            ;X  ;03 48 41.4 +23 33 13                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1078;   2289.09;Cl Melotte 22 1647                 ;*  ;03 47 58.9524942312 +24 44 18.768936372;     ~   ;     ~   ;13.20    ;     ~   ;~              
1079;   2289.67;Cl Melotte 22 2439                 ;*  ;03 49 45.9038004840 +23 46 52.356899388;     ~   ;11.94    ;     ~   ;     ~   ;~              
1080;   2293.88;V* V345 Tau                        ;Er*;03 48 20.5727353128 +23 31 01.475012568;     ~   ;15.00    ;     ~   ;     ~   ;~              
1081;   2297.06;Cl Melotte 22 1303                 ;*  ;03 47 07.0791905352 +23 28 54.705249732;     ~   ;     ~   ;13.56    ;     ~   ;~              
1082;   2298.51;Cl Melotte 22 1948                 ;*  ;03 48 38.22 +23 32 39.4                ;     ~   ;12.87    ;     ~   ;     ~   ;~              
1083;   2302.12;Cl Melotte 22 417                  ;*  ;03 44 41.7976984944 +24 17 12.349218048;     ~   ;     ~   ;13.09    ;13.32    ;~              
1084;   2303.86;[SCG94] X 238                      ;?  ;03 49 23.5 +24 34 05                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1085;   2304.13;Cl Melotte 22 1648                 ;*  ;03 47 59.0 +24 44 34                   ;     ~   ;     ~   ;12.96    ;     ~   ;~              
1086;   2305.20;CSI+24-03424 2                     ;*  ;03 45 24.0 +24 34 00                   ;     ~   ;11.0     ;10.4     ;     ~   ;G0V            
1087;   2307.61;V* V1065 Tau                       ;RS*;03 46 40.2476949658 +23 29 51.877806260;14.016   ;13.01    ;12.02    ;     ~   ;G7V            
1088;   2309.55;Cl Melotte 22 2517                 ;*  ;03 50 00.2854254768 +24 21 34.418104776;     ~   ;12.84    ;     ~   ;     ~   ;~              
1089;   2309.83;Cl Melotte 22 2581                 ;*  ;03 50 10.1677176096 +24 13 45.511373064;     ~   ;12.56    ;     ~   ;     ~   ;~              
1090;   2312.49;Cl Melotte 22 420                  ;*  ;03 44 42.0 +24 18 00                   ;     ~   ;16.1     ;     ~   ;     ~   ;~              
1091;   2313.26;Gaia DR2 64949766767215104         ;WD?;03 49 00.9279823272 +23 35 27.118781196;     ~   ;     ~   ;     ~   ;     ~   ;~              
1092;   2316.15;HD 23964C                          ;PM*;03 49 57.4472485560 +23 50 49.472030616;     ~   ;10.95    ;10.54    ;9.71     ;G0Ve           
1093;   2316.73;2MASS J03445639+2425574            ;Y*O;03 44 56.3956556693 +24 25 57.395257211;     ~   ;11.01    ;10.38    ;     ~   ;F8             
1094;   2316.95;V* V361 Tau                        ;Er*;03 49 33.0361168491 +24 32 02.534946360;     ~   ;18.10    ;16.58    ;     ~   ;M3.2           
1095;   2317.39;Cl* Melotte 22 DH 414              ;*  ;03 46 02.9586959088 +24 40 55.863171012;     ~   ;     ~   ;     ~   ;     ~   ;~              
1096;   2317.40;[LH98] 105                         ;*  ;03 49 58.2 +23 51 09                   ;     ~   ;     ~   ;     ~   ;     ~   ;A1             
1097;   2317.80;Gaia DR3 64949766761769088         ;WD?;03 49 01.0493926872 +23 35 22.735919976;     ~   ;     ~   ;     ~   ;     ~   ;~              
1098;   2317.86;Cl Melotte 22 992                  ;*  ;03 46 19.6131508776 +23 31 17.145217128;     ~   ;13.23    ;12.26    ;     ~   ;F8IV           
1099;   2318.52;2E 0343.6+2320                     ;X  ;03 46 38.8 +23 29 46                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1100;   2318.97;Cl* Melotte 22 DH 526              ;Er*;03 47 36.0312683399 +23 28 26.915582530;     ~   ;     ~   ;19.20    ;     ~   ;~              
1101;   2319.06;Cl Melotte 22 388                  ;*  ;03 44 35.2398569376 +24 03 45.981670104;     ~   ;13.3     ;     ~   ;     ~   ;~              
1102;   2319.64;HD 23964B                          ;PM*;03 49 57.8595635856 +23 50 53.381105592;     ~   ;10.7     ;10.15    ;     ~   ;B9.5V          
1103;   2321.29;HD 23964A                          ;SB*;03 49 58.0556899152 +23 50 55.288075236;     ~   ;6.82     ;6.81     ;6.3      ;B9.5VspSiSrCr  
1104;   2321.75;V* V855 Tau                        ;Y*O;03 45 40.1782648711 +24 37 38.007136109;     ~   ;10.6     ;9.9      ;     ~   ;F9V            
1105;   2323.26;V* V551 Tau                        ;Er*;03 49 21.4888788691 +23 39 06.410599667;     ~   ;19       ;17.15    ;     ~   ;~              
1106;   2323.45;Cl Melotte 22 2182                 ;*  ;03 49 09.8229564792 +23 36 45.834282792;     ~   ;11.30    ;     ~   ;     ~   ;~              
1107;   2325.43;Cl* Melotte 22 LLP 139             ;PM*;03 47 58.8442821576 +23 29 04.274542068;     ~   ;16.5     ;16.5     ;     ~   ;M:             
1108;   2326.45;Cl* Melotte 22 BRB 10              ;LM*;03 49 15.1194644712 +24 36 22.638966408;     ~   ;     ~   ;     ~   ;     ~   ;M6.5           
1109;   2327.20;Cl* Melotte 22 DH 625              ;Er*;03 49 31.2174223418 +23 41 19.783391734;     ~   ;     ~   ;18.60    ;     ~   ;~              
1110;   2328.15;Cl* Melotte 22 SHF 21              ;*  ;03 45 54.9546774024 +23 33 58.147449336;     ~   ;     ~   ;     ~   ;     ~   ;~              
1111;   2329.25;SWXCS J034841+2332.4               ;ClG;03 48 41.131 +23 32 25.08              ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1112;   2330.15;IRAS 03452+2320                    ;FIR;03 48 12.6 +23 29 47                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1113;   2330.66;Cl Melotte 22 2563                 ;*  ;03 50 07.5155563608 +24 17 53.902621032;     ~   ;     ~   ;13.66    ;     ~   ;~              
1114;   2332.21;Cl* Melotte 22 HAR 122             ;*  ;03 46 55.0 +23 28 42                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1115;   2340.64;Cl* Melotte 22 BPL 109             ;*  ;03 46 44.7759280272 +24 44 58.516789668;     ~   ;     ~   ;19.50    ;     ~   ;~              
1116;   2342.04;Cl* Melotte 22 CALAR 24            ;*  ;03 46 48.67 +23 28 48.7                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1117;   2342.93;V* V1172 Tau                       ;BY*;03 47 38.0074370120 +23 28 04.974381557;     ~   ;14.87    ;13.50    ;     ~   ;K6             
1118;   2345.56;V* V372 Tau                        ;Y*O;03 50 12.2661343080 +23 59 44.489238432;     ~   ;16.77    ;15.33    ;15.08    ;M3Ve           
1119;   2345.85;Cl Melotte 22 2365                 ;*  ;03 49 34.9555018572 +23 41 50.655820484;     ~   ;     ~   ;14.26    ;     ~   ;~              
1120;   2346.23;2MASS J03443541+2400048            ;Y*O;03 44 35.4064162377 +24 00 04.817154001;     ~   ;15.760   ;14.329   ;     ~   ;~              
1121;   2352.93;V* V368 Tau                        ;Er*;03 50 02.1708583802 +23 51 44.727118124;     ~   ;     ~   ;     ~   ;     ~   ;~              
1122;   2357.70;Cl* Melotte 22 ROQUE 30            ;LM*;03 50 16.090 +24 08 34.70              ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1123;   2357.78;2MASS J03463777+2444517            ;Y*O;03 46 37.7719499679 +24 44 51.681848077;     ~   ;12.80    ;11.92    ;     ~   ;K0V            
1124;   2357.98;IRAS 03421+2333                    ;FIR;03 45 08.8 +23 42 44                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1125;   2361.79;Cl Melotte 22 688                  ;*  ;03 45 31.2401957256 +23 37 15.153009276;     ~   ;13.67    ;     ~   ;     ~   ;F8V            
1126;   2364.08;Cl* Melotte 22 HHJ 24              ;*  ;03 44 46.1348796576 +24 23 03.062880204;     ~   ;     ~   ;     ~   ;     ~   ;~              
1127;   2364.20;Cl* Melotte 22 NPNPL 3             ;*  ;03 45 11.730 +23 41 43.60              ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1128;   2364.50;V* V854 Tau                        ;Er*;03 45 27.5025680280 +23 37 57.156560184;     ~   ;     ~   ;18.80    ;     ~   ;~              
1129;   2367.28;V* V1040 Tau                       ;Er*;03 44 50.0676064272 +24 25 03.122062140;     ~   ;15.2     ;     ~   ;     ~   ;~              
1130;   2368.00;Cl Melotte 22 2443                 ;PM*;03 49 46.4753268192 +23 44 41.479147212;     ~   ;12.02    ;     ~   ;     ~   ;~              
1131;   2368.56;Cl* Melotte 22 HHJ 183             ;Er*;03 44 54.0920601205 +24 26 46.942359348;     ~   ;     ~   ;18.50    ;     ~   ;~              
1132;   2371.07;PLHX 34                            ;X  ;03 49 07.1 +23 35 17                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1133;   2371.80;Cl Melotte 22 1632                 ;*  ;03 47 57.2195973048 +24 45 48.010711968;     ~   ;13.49    ;     ~   ;     ~   ;~              
1134;   2376.93;V* V469 Tau                        ;Er*;03 50 15.2600917383 +24 13 36.261144332;     ~   ;19.51    ;17.54    ;     ~   ;~              
1135;   2381.13;HD 282965                          ;SB*;03 49 11.7330709952 +24 38 11.688977570;11.15    ;11.2     ;10.6     ;9.88     ;F9V            
1136;   2381.59;Cl Melotte 22 1981                 ;*  ;03 48 45.0518484768 +24 42 08.625803832;     ~   ;     ~   ;13.37    ;     ~   ;~              
1137;   2385.40;V* V553 Tau                        ;Er*;03 50 11.8450089864 +24 17 45.858864480;     ~   ;14.49    ;13.26    ;     ~   ;~              
1138;   2385.65;BD+23 546                          ;*  ;03 47 55.5890026968 +23 27 54.080493552;     ~   ;12.04    ;11.33    ;     ~   ;~              
1139;   2388.55;V* V369 Tau                        ;Er*;03 50 11.1637373208 +23 55 41.903881680;     ~   ;     ~   ;     ~   ;     ~   ;~              
1140;   2390.77;Cl Melotte 22 656                  ;*  ;03 45 27.9323002128 +24 36 49.009546440;     ~   ;     ~   ;13.20    ;     ~   ;~              
1141;   2395.87;Cl Melotte 22 1608                 ;*  ;03 47 53.7520888656 +24 46 21.171108072;     ~   ;     ~   ;13.38    ;     ~   ;~              
1142;   2399.95;V* V441 Tau                        ;Er*;03 45 16.6472822784 +24 34 32.495715692;     ~   ;17.75    ;16.18    ;     ~   ;~              
1143;   2403.84;Cl Melotte 22 395                  ;EB?;03 44 36.5768826912 +24 19 09.978887028;     ~   ;14.8     ;     ~   ;14.28    ;~              
1144;   2405.10;HD 23923                           ;*  ;03 49 43.5315887616 +23 42 42.667696476;     ~   ;6.104    ;6.153    ;     ~   ;B8V            
1145;   2406.26;V* SY Tau                          ;LP*;03 48 45.8409281736 +23 31 31.882558692;     ~   ;10.8     ;9.5      ;     ~   ;M:             
1146;   2407.04;Cl* Melotte 22 DH 659              ;Er*;03 50 12.4438082658 +23 55 36.038698857;     ~   ;     ~   ;18.15    ;     ~   ;~              
1147;   2407.07;Cl* Melotte 22 DH 515              ;Er*;03 47 28.1127287086 +23 26 53.590881433;     ~   ;     ~   ;17.11    ;     ~   ;M3.2           
1148;   2411.48;Cl* Melotte 22 DH 624              ;Er*;03 49 29.8058175777 +23 38 55.395745933;     ~   ;     ~   ;18.30    ;     ~   ;~              
1149;   2416.51;HD 23326                           ;PM*;03 45 05.2834818672 +23 42 09.619748244;9.632    ;9.34     ;8.99     ;     ~   ;F3V            
1150;   2417.10;V* NP Tau                          ;Er*;03 44 28.0030714536 +24 10 17.615581608;15.965   ;     ~   ;13.46    ;     ~   ;M0.5Ve         
1151;   2419.96;Cl Melotte 22 2175                 ;*  ;03 49 09.3224531448 +23 34 38.785232316;     ~   ;     ~   ;13.65    ;     ~   ;~              
1152;   2420.88;V* V443 Tau                        ;Er*;03 45 36.7182736081 +24 39 06.774644939;     ~   ;18.319   ;16.725   ;     ~   ;~              
1153;   2420.89;V* V523 Tau                        ;Er*;03 45 33.3648166680 +23 35 33.968614092;     ~   ;     ~   ;     ~   ;     ~   ;~              
1154;   2421.96;Cl* Melotte 22 ROQUE 28            ;LM*;03 50 20.77100 +24 08 40.8784          ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1155;   2423.27;PLHX 12                            ;X  ;03 44 27.3 +24 04 45                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1156;   2423.66;DANCe J03462246+2329081            ;Er*;03 46 22.4600796627 +23 29 08.257712145;     ~   ;     ~   ;     ~   ;     ~   ;~              
1157;   2426.53;ATO J057.4781+24.4724              ;EB?;03 49 54.7419226329 +24 28 20.939713089;     ~   ;16.874   ;16.303   ;16.186   ;~              
1158;   2432.43;Cl* Melotte 22 ROQUE 47            ;LM*;03 49 04.8527386584 +23 33 39.486639960;     ~   ;     ~   ;     ~   ;     ~   ;~              
1159;   2432.90;V* V446 Tau                        ;Er*;03 46 28.6248669361 +24 45 32.389939024;     ~   ;15.71    ;14.19    ;     ~   ;K8             
1160;   2433.03;V* V867 Tau                        ;Er*;03 47 50.0393246688 +24 47 06.905568624;     ~   ;     ~   ;     ~   ;     ~   ;~              
1161;   2437.83;Cl Melotte 22 2430                 ;*  ;03 49 45.9156095064 +24 31 36.561231264;     ~   ;     ~   ;13.74    ;     ~   ;~              
1162;   2440.72;Cl Melotte 22 1085                 ;*  ;03 46 36.8323461840 +24 46 14.202717024;     ~   ;     ~   ;13.43    ;     ~   ;~              
1163;   2440.96;Cl Melotte 22 2408                 ;*  ;03 49 40.5171362280 +23 40 53.713488216;     ~   ;     ~   ;13.21    ;     ~   ;~              
1164;   2441.99;UGCS J034704.41+244727.3           ;*  ;03 47 04.410 +24 47 27.30              ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1165;   2442.29;BD+23 521                          ;*  ;03 46 17.9919005844 +23 29 11.939258173;11.984   ;11.4     ;10.6     ;     ~   ;F8V            
1166;   2445.23;IRAS 03436+2318                    ;FIR;03 46 39.0 +23 27 34                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1167;   2445.81;Cl Melotte 22 412                  ;*  ;03 44 41.3755018992 +24 23 57.797591568;     ~   ;12.46    ;     ~   ;     ~   ;G2             
1168;   2446.60;V* V1005 Tau                       ;Er*;03 45 06.5596225704 +23 41 00.097130040;     ~   ;16.6     ;     ~   ;     ~   ;~              
1169;   2448.26;Cl* Melotte 22 DH 342              ;Er*;03 44 27.9060606096 +23 59 59.890345980;     ~   ;     ~   ;     ~   ;     ~   ;~              
1170;   2454.63;Cl* Melotte 22 DH 341              ;PM*;03 44 27.4918881336 +24 14 17.266776972;     ~   ;     ~   ;18.6     ;     ~   ;~              
1171;   2456.79;Cl* Melotte 22 HHJ 203             ;Er*;03 47 15.3763733331 +23 26 06.062993211;     ~   ;     ~   ;18.10    ;     ~   ;~              
1172;   2459.96;V* V371 Tau A                      ;*  ;03 50 12.8625710651 +24 21 06.525590359;     ~   ;     ~   ;     ~   ;     ~   ;~              
1173;   2460.21;V* V371 Tau                        ;Y*O;03 50 12.876576 +24 21 06.71724        ;     ~   ;16.56    ;15.11    ;14.94    ;M3Ve           
1174;   2461.90;V* V371 Tau B                      ;PM*;03 50 12.9934749096 +24 21 07.288655436;     ~   ;     ~   ;     ~   ;     ~   ;~              
1175;   2462.01;Cl Melotte 22 2266                 ;*  ;03 49 19.9775934816 +23 35 41.142723108;     ~   ;13.55    ;     ~   ;     ~   ;~              
1176;   2464.10;Cl* Melotte 22 BPL 228             ;PM*;03 50 19.1376347808 +24 16 34.224679992;     ~   ;     ~   ;     ~   ;     ~   ;~              
1177;   2467.03;Cl Melotte 22 1294                 ;*  ;03 47 05.4130175952 +23 26 06.197030448;     ~   ;     ~   ;14.13    ;     ~   ;~              
1178;   2467.46;Cl Melotte 22 2659                 ;*  ;03 50 22.2118821000 +24 13 14.651268996;     ~   ;     ~   ;13.01    ;     ~   ;~              
1179;   2468.26;UGCS J034533.30+233434.2           ;*  ;03 45 33.300 +23 34 34.30              ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1180;   2468.93;UCAC4 570-008328                   ;*  ;03 44 30.7831753176 +23 55 39.198805968;     ~   ;15.24    ;14.29    ;14.15    ;~              
1181;   2469.98;Cl Melotte 22 2466                 ;*  ;03 49 52.3668624480 +24 30 29.798224956;     ~   ;13.15    ;     ~   ;     ~   ;~              
1182;   2470.16;PLHX 32                            ;X  ;03 48 32.9 +23 28 58                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
1183;   2471.12;HD 23247                           ;Er*;03 44 23.5411594200 +24 07 57.471196908;     ~   ;9.564    ;9.111    ;9.23     ;F2V            
1184;   2471.26;Cl Melotte 22 2612                 ;*  ;03 50 13.8067719096 +23 53 07.657995948;     ~   ;     ~   ;13.28    ;     ~   ;~              
