num ;dist(asec);            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  spec. type   
41  ;    328.60;UGCS J034729.48+241219.7           ;PM*;03 47 29.4738496728 +24 12 19.945157256;     ~   ;     ~   ;     ~   ;     ~   ;~              
42  ;    330.09;Cl* Melotte 22 DH 535              ;PM*;03 47 44.0399192760 +24 03 56.539973412;     ~   ;     ~   ;     ~   ;     ~   ;~              
43  ;    345.78;Cl* Melotte 22 SHF 44              ;*  ;03 47 17.2679730000 +24 12 33.275379492;     ~   ;     ~   ;     ~   ;     ~   ;~              
44  ;    347.25;[KRL2001] 3                        ;X  ;03 47 16.98 +24 12 33.7                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
45  ;    347.37;CXOP J034716.9+241233              ;X  ;03 47 16.90 +24 12 33.5                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
46  ;    348.06;[SCG94] X 171                      ;?  ;03 47 17.1 +24 12 35                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
47  ;    357.09;Cl Melotte 22 1242                 ;*  ;03 46 58.9385496768 +24 05 21.196697388;     ~   ;12.79    ;     ~   ;     ~   ;~              
48  ;    364.83;Cl Melotte 22 1327                 ;*  ;03 47 11.1342620352 +24 12 19.520933544;     ~   ;     ~   ;13.60    ;     ~   ;~              
49  ;    367.90;CXOP J034657.3+240612              ;X  ;03 46 57.35 +24 06 12.9                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
50  ;    369.63;CXOP J034709.6+240146              ;Q? ;03 47 09.69 +24 01 46.6                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
51  ;    370.76;[KRL2001] J034659.54+240421.01     ;X  ;03 46 59.54 +24 04 21.0                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
52  ;    370.86;Cl* Melotte 22 ROQUE 27            ;LM*;03 47 46.9 +24 03 42                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
53  ;    381.12;[KRL2001] 10                       ;X  ;03 47 01.66 +24 10 47.5                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
54  ;    381.54;CXOP J034712.5+240112              ;X  ;03 47 12.53 +24 01 12.3                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
55  ;    382.00;CXOP J034701.5+241047              ;X  ;03 47 01.58 +24 10 47.5                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
56  ;    387.82;2MASS J03474638+2403025            ;Y*O;03 47 46.3873526495 +24 03 02.478409046;     ~   ;17.258   ;15.733   ;     ~   ;~              
57  ;    388.90;Cl Melotte 22 1477                 ;*  ;03 47 35.5477028136 +24 12 55.343962332;     ~   ;13.50    ;     ~   ;     ~   ;~              
58  ;    388.92;V* V794 Tau                        ;Er*;03 47 51.9037688904 +24 05 47.249843280;     ~   ;     ~   ;     ~   ;     ~   ;~              
59  ;    390.57;HAT 260-09130                      ;*  ;03 46 56.8046847192 +24 08 58.140385044;     ~   ;     ~   ;     ~   ;     ~   ;~              
60  ;    397.85;Cl* Melotte 22 ALR 513             ;*  ;03 47 46.6 +24 02 50                   ;     ~   ;12.34    ;11.11    ;     ~   ;~              
61  ;    402.98;2MASS J03471316+2400453            ;*  ;03 47 13.1676740232 +24 00 45.325175076;     ~   ;18.60    ;     ~   ;     ~   ;~              
62  ;    405.30;UCAC4 571-008667                   ;*  ;03 46 54.4235012304 +24 06 42.656259564;     ~   ;15.73    ;14.51    ;14.09    ;~              
63  ;    410.22;CXOP J034722.6+240010              ;X  ;03 47 22.65 +24 00 10.2                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
64  ;    410.62;[KRL2001] J034722.49+240009.89     ;X  ;03 47 22.49 +24 00 09.9                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
65  ;    415.25;Cl* Melotte 22 MHO 8               ;Er*;03 46 53.9572109375 +24 07 57.243630147;     ~   ;     ~   ;18.92    ;     ~   ;MV             
66  ;    416.61;[SCG94] X 173                      ;?  ;03 47 17.5 +24 13 47                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
67  ;    417.69;Cl Melotte 22 1370                 ;*  ;03 47 19.59 +24 00 06.7                ;     ~   ;13.83    ;13.2     ;     ~   ;M:             
68  ;    418.54;V* V1279 Tau B                     ;PM*;03 47 18.1342325891 +24 13 50.766111337;     ~   ;     ~   ;     ~   ;     ~   ;~              
69  ;    419.16;V* V1279 Tau                       ;BY*;03 47 18.13080 +24 13 51.3912          ;     ~   ;     ~   ;     ~   ;     ~   ;~              
70  ;    419.33;V* V1279 Tau A                     ;PM*;03 47 18.1273116285 +24 13 51.553637326;     ~   ;     ~   ;     ~   ;     ~   ;~              
71  ;    420.35;CXOP J034657.1+240337              ;X  ;03 46 57.10 +24 03 37.5                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
72  ;    422.99;[KRL2001] J034703.30+241214.07     ;X  ;03 47 03.30 +24 12 14.1                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
73  ;    424.87;Cl* Melotte 22 BPL 130             ;*  ;03 47 11.8075281312 +24 13 30.734361588;     ~   ;     ~   ;21.44    ;     ~   ;M              
74  ;    427.88;CXOP J034701.2+240206              ;X  ;03 47 01.30 +24 02 06.0                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
75  ;    427.91;[KRL2001] 11                       ;X  ;03 47 01.29 +24 02 06.1                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
76  ;    439.54;Cl* Melotte 22 BPL 139             ;PM*;03 47 22.3722210456 +24 14 18.973846248;     ~   ;     ~   ;     ~   ;     ~   ;~              
77  ;    441.19;[SCG94] X 193                      ;?  ;03 47 46.1 +24 01 39                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
78  ;    445.01;Cl* Melotte 22 VM 36               ;*  ;03 47 48.0 +24 02 00                   ;     ~   ;16.4     ;     ~   ;     ~   ;~              
79  ;    445.99;Cl* Melotte 22 DH 499              ;*  ;03 47 11.8585895352 +24 13 53.882810868;     ~   ;     ~   ;19.52    ;     ~   ;~              
80  ;    448.09;[KRL2001] 21                       ;*  ;03 46 51.4282819008 +24 06 16.285800132;     ~   ;     ~   ;     ~   ;     ~   ;~              
81  ;    448.34;V* QS Tau                          ;Er*;03 47 11.0206425648 +24 13 51.651060420;     ~   ;14.00    ;19.34    ;     ~   ;~              
82  ;    449.96;CXOP J034652.1+240850              ;X  ;03 46 52.14 +24 08 50.7                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
83  ;    458.30;[KRL2001] 16                       ;X  ;03 46 55.63 +24 02 56.9                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
84  ;    462.34;BD+23 543                          ;*  ;03 47 39.8774820576 +24 00 11.996068212;     ~   ;11.9     ;11.3     ;     ~   ;F8             
85  ;    463.54;Cl* Melotte 22 DH 484              ;Er*;03 46 59.3116640184 +24 01 42.916021104;     ~   ;19.90    ;17.60    ;     ~   ;MV             
86  ;    465.06;CXOP J034659.9+240132              ;X  ;03 46 59.92 +24 01 32.1                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
87  ;    468.08;CXOP J034653.6+240325              ;X  ;03 46 53.63 +24 03 25.2                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
88  ;    469.18;Cl* Melotte 22 DH 478              ;*  ;03 46 55.3101893022 +24 11 16.777819565;     ~   ;     ~   ;19.02    ;     ~   ;MV             
89  ;    471.22;CXOP J034652.8+240338              ;X  ;03 46 52.88 +24 03 38.9                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
90  ;    475.14;CXOP J034658.1+240140              ;Er*;03 46 58.2568973467 +24 01 41.478164358;     ~   ;     ~   ;     ~   ;     ~   ;MV             
91  ;    478.90;Cl Melotte 22 1199                 ;*  ;03 46 52.3330280928 +24 10 23.641043592;     ~   ;14.8     ;     ~   ;     ~   ;~              
