num ;dist(asec);            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;     spec. type      
2150;   2920.63;NVSS J083930+185256                ;Rad;08 39 30.723 +18 52 58.47              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2151;   2921.27;SDSS J084343.09+195316.8           ;G  ;08 43 43.1107530624 +19 53 16.856300832;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2152;   2924.57;2MASS J08372578+2004543            ;LM*;08 37 25.8066649824 +20 04 54.816669192;     ~   ;     ~   ;     ~   ;     ~   ;M0V                  
2153;   2924.87;Cl* NGC 2632 S 79                  ;Ro*;08 39 35.5396599646 +18 52 36.750952846;     ~   ;11.282   ;10.695   ;     ~   ;G                    
2154;   2925.35;2MASS J08433954+1956103            ;*  ;08 43 39.5446891944 +19 56 10.336481844;     ~   ;     ~   ;     ~   ;     ~   ;M4.5                 
2155;   2927.06;Cl* NGC 2632 JS 384                ;*  ;08 40 46.9164473928 +20 28 29.199216396;     ~   ;18.41    ;16.09    ;     ~   ;M2V                  
2156;   2927.28;2MASS J08381695+2018353            ;*  ;08 38 16.9066715613 +20 18 35.017241990;     ~   ;     ~   ;     ~   ;     ~   ;M4.3                 
2157;   2927.47;SDSSCGB 42241                      ;CGG;08 42 30.7 +19 01 26                   ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2158;   2929.05;SDSS J083758.83+201455.3           ;QSO;08 37 58.8382980480 +20 14 55.369050216;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2159;   2929.17;V* DQ Cnc A                        ;V* ;08 42 13.8072969079 +20 21 26.937050177;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2160;   2929.18;V* DQ Cnc                          ;mul;08 42 13.804176 +20 21 26.96904        ;     ~   ;15.92    ;14.85    ;14.56    ;~                    
2161;   2929.98;V* DQ Cnc B                        ;V* ;08 42 13.8359087686 +20 21 27.634775150;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2162;   2930.00;SDSSCGB 42241.3                    ;G  ;08 42 30.366 +19 01 19.16              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2163;   2930.39;Cl* NGC 2632 KW 410                ;*  ;08 41 37.2134338200 +20 25 42.787979868;     ~   ;13.3     ;     ~   ;     ~   ;~                    
2164;   2930.79;UCAC4 547-045830                   ;*  ;08 43 32.1461333733 +19 19 30.390616645;     ~   ;15.319   ;     ~   ;14.381   ;~                    
2165;   2930.81;Cl* NGC 2632 JS 443                ;Er*;08 41 36.6190915800 +18 54 15.445776816;     ~   ;19.71    ;17.21    ;     ~   ;M3.0                 
2166;   2934.33;2MASS J08374183+1909307            ;LM*;08 37 41.8169672640 +19 09 30.819113172;     ~   ;     ~   ;     ~   ;     ~   ;M8V                  
2167;   2935.91;OHIO J 257                         ;Rad;08 37 06.0 +19 55 00                   ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2168;   2937.36;2MASS J08411167+2027396            ;*  ;08 41 11.6669761824 +20 27 39.552115644;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2169;   2937.63;2MASS J08431135+1911007            ;*  ;08 43 11.3579072712 +19 11 00.795176844;     ~   ;     ~   ;     ~   ;     ~   ;M4.5                 
2170;   2937.86;Cl* NGC 2632 HSHJ 177              ;*  ;08 37 39.2072604792 +19 10 12.204516792;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2171;   2937.87;UCAC4 546-046788                   ;*  ;08 42 51.2913552443 +19 05 29.432056977;     ~   ;14.907   ;14.361   ;14.298   ;~                    
2172;   2938.39;SDSS J084350.80+193448.5           ;QSO;08 43 50.801 +19 34 48.58              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2173;   2939.95;2MASS J08410881+1852093            ;PM*;08 41 08.7988879968 +18 52 09.303034368;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2174;   2940.46;SDSS J083839.10+202221.8           ;G  ;08 38 39.108 +20 22 21.85              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2175;   2940.66;Cl* NGC 2632 PHJ 2                 ;LM*;08 37 02.1534244608 +19 52 07.378753296;     ~   ;     ~   ;     ~   ;     ~   ;M7V                  
2176;   2946.98;2MASS J08404779+2028479            ;Er*;08 40 47.7860873707 +20 28 47.868607153;     ~   ;     ~   ;     ~   ;     ~   ;M2.8                 
2177;   2948.94;Cl* NGC 2632 JS 158                ;*  ;08 36 55.9791781056 +19 35 57.002184960;     ~   ;19.55    ;17.19    ;     ~   ;M2.2                 
2178;   2949.95;UCAC4 545-046994                   ;*  ;08 42 12.6904783119 +18 58 03.044066421;     ~   ;14.810   ;13.860   ;13.565   ;~                    
2179;   2951.33;SDSS J084055.73+202837.2           ;QSO;08 40 55.739 +20 28 37.26              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2180;   2951.76;SDSSCGB 42241.4                    ;G  ;08 42 31.740 +19 01 06.70              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2181;   2952.27;2MASS J08365563+1936151            ;LM*;08 36 55.6368067704 +19 36 15.161121612;     ~   ;     ~   ;     ~   ;     ~   ;M8V                  
2182;   2952.69;SDSS J083837.12+185744.2           ;QSO;08 38 37.1305270032 +18 57 44.293069836;     ~   ;18.88    ;18.73    ;     ~   ;~                    
2183;   2952.71;SDSS J084349.72+194851.3           ;QSO;08 43 49.724 +19 48 51.34              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2184;   2953.39;2MASS J08425197+1905173            ;BD?;08 42 51.9681317424 +19 05 17.072094084;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2185;   2955.80;SDSS J083657.56+194811.2           ;QSO;08 36 57.562 +19 48 11.29              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2186;   2959.31;2MASS J08405751+2028414            ;*  ;08 40 57.5122615824 +20 28 41.406215592;     ~   ;     ~   ;     ~   ;     ~   ;M4.5                 
2187;   2959.67;[BBG2010] 41                       ;BD?;08 41 12.3911466336 +20 28 00.070751928;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2188;   2960.64;SDSS J084353.16+194317.9           ;QSO;08 43 53.1694381560 +19 43 18.021427500;     ~   ;18.95    ;18.80    ;     ~   ;~                    
2189;   2961.15;SDSS J084313.63+200904.9           ;QSO;08 43 13.632 +20 09 04.93              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2190;   2962.23;2MASS J08370765+1957274            ;LM*;08 37 07.6538334936 +19 57 27.444188916;     ~   ;     ~   ;     ~   ;     ~   ;M4.2                 
2191;   2962.28;Cl* NGC 2632 JS 405                ;*  ;08 41 05.3168864324 +20 28 24.521274061;     ~   ;16.58    ;14.97    ;     ~   ;M0V                  
2192;   2962.69;BD+20 2197                         ;*  ;08 43 53.5939615248 +19 42 01.576353672;     ~   ;10.88    ;10.35    ;     ~   ;F4V                  
2193;   2965.56;Cl* NGC 2632 KW 500                ;*  ;08 43 11.6109542664 +19 10 18.907079232;     ~   ;12.9     ;     ~   ;     ~   ;~                    
2194;   2966.13;SDSS J084336.76+195942.8           ;QSO;08 43 36.769 +19 59 42.87              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2195;   2966.21;[BBG2010] 88                       ;BD?;08 38 11.16 +19 01 45.7                ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2196;   2971.46;NVSS J083805+201728                ;Rad;08 38 06.161 +20 17 28.06              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2197;   2971.50;Cl* NGC 2632 HSHJ 140              ;*  ;08 36 54.0393099144 +19 37 01.744509540;     ~   ;     ~   ;     ~   ;     ~   ;M3.9                 
2198;   2977.39;2MASS J08371788+1916476            ;Sy1;08 37 17.8902445776 +19 16 47.976309048;     ~   ;19.17    ;18.90    ;     ~   ;~                    
2199;   2977.79;TXS 0840+200                       ;Rad;08 43 50.91 +19 49 38.1                ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2200;   2978.40;[AKS95] 70                         ;*  ;08 36 53.38 +19 37 45.2                ;     ~   ;9.64     ;9.174    ;     ~   ;~                    
2201;   2980.08;2MASS J08433174+2002455            ;*  ;08 43 31.7507302728 +20 02 45.523254696;     ~   ;     ~   ;     ~   ;     ~   ;M3.5                 
2202;   2981.61;2MASX J08432533+2005326            ;G  ;08 43 25.3137929472 +20 05 32.490202056;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2203;   2982.13;SDSS J083713.14+191851.1           ;QSO;08 37 13.1479136664 +19 18 51.161114016;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2204;   2982.35;IRAS F08408+2005                   ;IR ;08 43 46.1 +19 54 30                   ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2205;   2983.22;2MASS J08372526+2006350            ;Er*;08 37 25.2681814008 +20 06 34.927826904;     ~   ;     ~   ;     ~   ;     ~   ;M5.1                 
2206;   2984.21;Cl* NGC 2632 JS 543                ;*  ;08 43 39.2764577832 +19 59 05.680973796;     ~   ;19.77    ;17.70    ;     ~   ;~                    
2207;   2984.70;SDSS J083846.78+185551.5           ;QSO;08 38 46.786 +18 55 51.54              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2208;   2985.00;BD+19 2052                         ;SB*;08 37 42.3624111120 +19 08 01.578264972;     ~   ;10.29    ;9.88     ;     ~   ;F4V                  
2209;   2987.59;Cl* NGC 2632 KW 35                 ;*  ;08 37 31.0412115360 +20 08 44.880828972;     ~   ;13.1     ;     ~   ;     ~   ;~                    
2210;   2988.34;2MASS J08372496+2006381            ;PM*;08 37 24.9700195392 +20 06 37.879095312;     ~   ;     ~   ;     ~   ;     ~   ;M5                   
2211;   2989.82;2MASS J08370733+1958323            ;PM*;08 37 07.3337299368 +19 58 32.283952500;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2212;   2990.87;2MASS J08381695+2019549            ;BD?;08 38 16.9304644512 +20 19 55.265521872;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2213;   2991.76;2MASS J08382537+2021210            ;LM*;08 38 25.3749854208 +20 21 20.978829180;     ~   ;     ~   ;     ~   ;     ~   ;M4.3                 
2214;   2993.21;2MASX J08434923+1952340            ;G  ;08 43 49.2072318144 +19 52 34.147315884;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2215;   2993.72;Cl* NGC 2632 HSHJ 343              ;Er*;08 40 58.4454865560 +18 50 46.283203608;     ~   ;21.05    ;18.37    ;     ~   ;M3.7                 
2216;   2994.58;Cl* NGC 2632 S 200                 ;*  ;08 42 44.9480245992 +19 02 46.458724164;     ~   ;11.98    ;11.00    ;     ~   ;G8                   
2217;   2995.25;Cl* NGC 2632 JC 114                ;Ro*;08 37 47.3915193288 +19 06 24.749104608;     ~   ;13.172   ;12.273   ;     ~   ;G8.6                 
2218;   2996.83;Cl* NGC 2632 S 10                  ;*  ;08 37 09.1377595608 +19 20 21.125415408;     ~   ;12.5     ;     ~   ;     ~   ;~                    
